id,obj_count,trigger_count,portal_count,x_min,x_max,y_min,y_max,stars
76663751,66342,2498,87,-29.0,22879.0,-166.837,2220.0,8
49819566,21207,803,46,-29.0,22575.0,45.0,1545.0,5
70579305,94484,2077,36,-29.0,35895.0,-180.0,2385.0,10
32469248,19804,317,48,-29.0,22695.0,-198.0,1605.0,3
9844705,25179,70,35,-135.0,22205.0,0.0,1365.0,2
29854369,14717,761,151,15.0,21515.0,-119.0,1635.0,4
74216097,48650,2093,60,-29.0,31493.0,-180.0,2349.73,4
73273881,30068,307,8,-225.001,18296.3,-161.5,1875.0,2
92152290,21273,462,8,-15.0,25700.1,-165.0,1365.0,2
35803436,12256,195,9,-476.685,15915.0,-135.0,1365.0,5
34227786,37458,7658,42,-29.0,27226.0,-180.0,2400.0,8
7590823,19981,1389,6,301.0,21167.0,1.0,555.0,1
30689427,17950,897,76,-29.0,21075.0,-137.0,1425.0,6
28905124,9117,593,27,-29.0,17219.3,-180.0,2385.0,3
478841,6222,161,116,315.0,28245.0,1.0,1200.0,1
94637676,36020,3684,37,-29.0,33195.0,15.0,2388.35,5
32052373,21721,532,56,-29.0,24601.0,-180.0,915.0,7
27070244,29997,1335,67,1.0,33705.0,-180.0,1755.0,10
59745562,60490,3125,52,-29.0,26805.0,-165.0,2139.07,9
34309016,15469,607,15,-29.0,18995.0,-150.0,1245.0,3
25602300,13345,699,68,1.0,21370.0,-165.0,1455.0,6
35844907,3846,1153,1,-29.0,37065.0,15.0,2400.0,2
88611404,114989,7789,247,-29.0,38415.0,-165.0,2385.0,10
28270854,9997,540,13,1.0,19155.0,-169.0,705.0,5
54882661,74766,3890,274,-29.0,46425.0,-133.0,1755.0,8
31927876,7474,449,18,-29.0,19065.0,-150.0,1230.0,5
44567922,36378,638,27,-29.0,21045.0,-166.601,2029.0,7
7366219,14004,25,4,315.0,21839.2,2.0,555.0,2
84265500,32771,3767,6,-29.0,34155.0,-180.0,2385.0,10
51322879,41653,591,28,-29.0,26625.5,-180.0,2400.0,9
30026352,4702,1043,0,-17.0,18465.0,-150.0,2355.0,1
5817181,15284,431,51,334.543,25529.2,1.0,1492.86,5
72639069,67837,3764,61,-29.0,30105.0,-180.0,2137.5,10
69364971,24543,2447,54,-29.0,36525.0,-180.0,2265.0,7
55372711,26463,3409,7,-29.0,15317.0,-165.0,2355.0,5
71950911,20365,972,119,-29.0,23565.0,-180.0,915.0,8
14093627,14578,899,90,15.0,25515.0,-165.0,1695.0,1
93845907,21999,1554,41,-29.0,25185.0,-135.0,2242.5,6
47169461,17081,2159,8,-29.0,18539.2,-62.9332,2160.42,7
79491383,12148,514,12,-29.0,21435.0,-180.0,808.803,4
57436521,622,104,12,-29.0,10905.0,-165.0,675.0,9
11045512,10148,226,25,31.5,18215.0,-61.0,855.0,7
36679587,17894,1363,84,-29.0,24100.0,-165.0,1049.62,8
66842334,15654,842,12,-15.0,17895.0,-105.0,2400.0,4
51875825,27282,14383,3,-29.0,43234.2,-180.0,2400.0,10
42497026,16469,451,25,-29.0,21825.0,-180.0,870.5,6
2965099,7662,513,18,1.0,24585.0,-105.0,555.0,6
28879542,9285,1765,16,-225.0,21585.0,-175.0,885.0,5
62264734,39996,694,71,-29.0,23492.0,-180.0,1939.0,8
57232584,32821,3592,11,-29.0,23835.0,-180.0,2278.72,7
5949929,21085,1431,29,230.5,28515.0,0.0,855.0,7
39428299,43119,2557,7,-29.0,59899.0,-165.0,2235.0,1
15087988,9977,351,50,7.5,18195.0,-165.0,1125.0,3
30843730,23692,914,93,-29.0,22369.0,-180.0,1905.0,6
70700368,31088,6848,9,-29.0,29245.5,-165.0,2385.0,7
74710072,129128,3798,54,-29.0,26773.0,-178.5,2235.0,10
57281479,56063,698,137,-532.078,29715.0,-180.0,2400.0,4
68799704,49863,2463,50,-29.0,25095.0,-180.0,1215.0,8
70205233,62743,1289,2,-29.0,81555.0,-180.0,2400.0,10
56916170,40094,2065,134,-29.0,28785.0,-180.0,2355.0,10
51765508,24488,619,22,-29.0,21765.0,-180.0,1307.9,5
57222342,67708,1315,84,-15.0,30585.0,-117.75,2055.0,6
20665725,22646,1952,8,1.0,35655.0,-180.0,1798.61,1
13201202,8129,483,8,1.0,16335.0,-142.5,1365.0,3
33163446,19446,685,20,-29.0,18435.0,-140.0,2325.0,4
71292716,28445,2781,21,-29.0,20985.4,-165.0,2374.0,7
61298043,38529,2571,32,-29.0,25275.0,-116.488,2325.0,5
81018185,114445,4591,60,-29.0,41781.8,-180.0,2295.0,5
87331792,39963,1305,35,-29.0,22290.5,6.0,1944.0,5
86597187,76238,3730,34,-29.0,34455.0,-180.0,2400.0,8
56940119,39836,1103,53,-29.0,25545.0,-180.0,1155.0,6
70009608,26263,645,72,-29.0,22245.0,-180.0,2355.0,5
96611738,70634,4326,19,-29.0,24105.0,-180.0,2295.0,5
67478391,76981,4862,125,-29.0,26217.1,-180.0,2231.11,7
62835942,60068,16685,22,-29.0,28101.5,-180.0,2400.0,9
79706178,10828,576,4,-29.0,20445.0,-107.0,2139.0,2
54433722,24389,244,8,-29.0,15071.4,15.0,2337.0,4
64398355,8721,88,10,-29.0,8115.0,-180.0,1005.0,2
50755297,39797,1002,56,-298.083,24885.0,-44.9995,1845.0,6
5552132,19610,599,41,315.0,19878.4,-9.0,946.908,3
